ServiceID,ServiceName,Beschreibung
S001,Datenspeicherung,Redundante Cloud-Speicherung mit 30 Tagen Aufbewahrung
S002,Notfallwiederherstellung,Ersatzumgebung für kritische Systeme im Ausfall
S003,Verwalteter Arbeitsplatz,Bereitstellung und Verwaltung von Endgeräten
S004,Softwareverteilung,Automatisierte Paketierung und Ausbringung von Anwendungen
S005,SIEM-Integration,Sammeln und Auswerten von Sicherheitsprotokollen
S006,Bedrohungserkennung,Automatisierte Erkennung verdächtiger Aktivitäten
S007,Incident Response,24/7 Security Operation Center für Eskalationen
S008,CI/CD-Einrichtung,Automatisierte Build- und Deployment-Pipelines
S009,Testautomatisierung,Integrierte Testsuiten im Deployment-Prozess
S010,Kollaborationstools,Bereitstellung von Teams, SharePoint und OneDrive
